score,strategy,total_trades,long_trades,short_trades,wins,win_rate,profit_factor,total_pnl_pct,max_drawdown_pct,sharpe_ratio,avg_win_pct,avg_loss_pct,avg_bars_held,buy_hold_pct,train_pnl,test_pnl,train_wr,test_wr,train_trades,test_trades,p,params
0.0,momentum,240,29,211,72,30.0,0.7043,-12.3724,11.7651,-1.8159,0.4093,-0.2491,3.2,9.336219859055417,-8.2213,-4.1511,28.57,31.4,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}"
0.0,momentum,240,29,211,93,38.75,0.7449,-10.3698,9.9786,-1.527,0.3256,-0.2765,3.1,9.336219859055417,-7.3221,-3.0477,35.29,42.15,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}"
0.0,momentum,223,27,196,74,33.18,0.734,-11.6736,11.1615,-1.7405,0.4353,-0.2945,3.7,9.336219859055417,-10.1697,-1.5039,30.17,36.45,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.0,momentum,223,27,196,74,33.18,0.734,-11.6736,11.1615,-1.7405,0.4353,-0.2945,3.7,9.336219859055417,-10.1697,-1.5039,30.17,36.45,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
0.0,momentum,223,27,196,55,24.66,0.7554,-7.7445,7.6052,-1.4006,0.4349,-0.1885,2.6,9.336219859055417,-5.3191,-2.4254,21.55,28.04,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': False}"
0.0,momentum,223,27,196,71,31.84,0.782,-6.6656,7.1558,-1.2197,0.3368,-0.2012,2.4,9.336219859055417,-3.8033,-2.8623,31.03,32.71,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 0.5, 'trailing': True}"
0.0,momentum,223,27,196,65,29.15,0.6929,-12.1629,11.5741,-1.9697,0.4222,-0.2507,3.1,9.336219859055417,-9.3294,-2.8335,26.72,31.78,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': False}"
0.0,momentum,223,27,196,82,36.77,0.7234,-10.6896,10.2598,-1.7394,0.3409,-0.274,3.0,9.336219859055417,-8.4302,-2.2593,33.62,40.19,116,107,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 0.75, 'tp_m': 1.5, 'max_bars': 48, 'cooldown': 8, 'adx_min': 20, 'be_after_r': 1.0, 'trailing': True}"
0.0,momentum,240,29,211,77,32.08,0.7021,-17.8667,16.594,-1.8895,0.547,-0.368,5.8,9.336219859055417,-9.1719,-8.6948,31.09,33.06,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 1.0, 'tp_m': 2.0, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 1.0, 'tp_m': 2.0, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': False}"
0.0,momentum,240,29,211,77,32.08,0.7021,-17.8667,16.594,-1.8895,0.547,-0.368,5.8,9.336219859055417,-9.1719,-8.6948,31.09,33.06,119,121,"{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 1.0, 'tp_m': 2.0, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}","{'strat': 'momentum', 'rsi_l': (28, 55), 'rsi_s': (42, 72), 'sl_m': 1.0, 'tp_m': 2.0, 'max_bars': 24, 'cooldown': 4, 'adx_min': 20, 'be_after_r': 0.0, 'trailing': True}"
